content_id,nudity_level,violence_level,profanity_level,alcohol_level,frightening_level
267,Mild,Severe,Mild,Mild,Severe
268,Severe,Moderate,Moderate,Mild,Moderate
269,Severe,Severe,Severe,Mild,Severe
270,Severe,Moderate,Severe,Mild,Moderate
271,None,Moderate,Mild,Mild,Severe
272,Moderate,Mild,Moderate,Severe,None
273,Mild,Severe,Moderate,Mild,Moderate
274,Moderate,Moderate,Severe,Severe,Severe
275,Mild,Mild,Mild,Mild,None
276,Mild,Moderate,Mild,Mild,Mild
277,Mild,Moderate,Mild,Moderate,Moderate
278,No Rate,No Rate,No Rate,No Rate,No Rate
279,None,Moderate,Mild,None,Severe
280,Mild,Moderate,Moderate,Moderate,Mild
281,Mild,Moderate,Mild,Moderate,Moderate
282,None,Severe,Moderate,Mild,Severe
283,Mild,Severe,Moderate,Mild,Severe
284,Mild,Mild,Mild,None,Mild
285,None,Moderate,Mild,Mild,Moderate
286,Mild,None,Mild,Mild,Mild
287,None,None,Severe,Mild,No Rate
288,Moderate,Mild,Mild,Severe,Mild
289,No Rate,No Rate,No Rate,No Rate,No Rate
290,Mild,None,Mild,Mild,None
291,None,Severe,Severe,Mild,Severe
292,None,Moderate,Mild,Mild,Moderate
293,None,Severe,Moderate,Mild,Severe
294,No Rate,No Rate,No Rate,No Rate,No Rate
295,None,Severe,Moderate,Moderate,Severe
296,No Rate,No Rate,No Rate,No Rate,No Rate
297,Mild,Moderate,Mild,Mild,Moderate
298,Mild,Moderate,Mild,Moderate,Moderate
299,None,Moderate,Mild,Mild,Moderate
300,Mild,Severe,Severe,Mild,Severe
301,Mild,Moderate,Mild,Mild,Moderate
302,No Rate,No Rate,No Rate,No Rate,No Rate
303,Mild,Mild,Moderate,Moderate,Moderate
304,Mild,Severe,Severe,Severe,Mild
305,Moderate,Mild,Mild,Moderate,Mild
306,Moderate,Severe,Moderate,Mild,Severe
307,Mild,Moderate,Mild,Moderate,Moderate
308,Moderate,Severe,Moderate,Mild,Moderate
309,None,Severe,Severe,Mild,Severe
310,Moderate,Severe,Moderate,Moderate,Severe
311,None,Mild,Moderate,Moderate,Moderate
312,Moderate,Moderate,Moderate,Moderate,Mild
313,Mild,Moderate,Mild,Mild,Moderate
314,Moderate,Moderate,Severe,Moderate,Mild
315,Mild,Severe,Severe,Mild,Severe
316,None,Mild,Mild,Mild,Moderate
317,Moderate,Moderate,Mild,Mild,Moderate
318,None,Mild,None,Mild,Mild
319,None,Moderate,Mild,Mild,Moderate
320,Mild,Severe,Moderate,Moderate,Severe
321,Moderate,Severe,Severe,Severe,Moderate
322,Mild,Mild,Severe,Moderate,Mild
323,Moderate,Severe,Severe,Moderate,Severe
324,Mild,Moderate,Mild,None,Moderate
325,Severe,Moderate,Severe,Severe,Severe
326,Mild,Moderate,Mild,Moderate,Mild
327,Mild,Mild,Mild,Mild,Mild
328,Mild,Moderate,Mild,Moderate,Moderate
329,No Rate,No Rate,No Rate,No Rate,No Rate
330,None,Mild,Mild,Mild,None
331,Mild,Moderate,Mild,None,Mild
332,No Rate,No Rate,No Rate,No Rate,No Rate
333,Severe,Severe,Severe,Moderate,Moderate
334,Severe,Severe,Severe,Severe,Moderate
335,Mild,Mild,None,None,Moderate
336,None,Severe,Severe,Mild,Severe
337,Mild,Mild,Moderate,Mild,Mild
338,Mild,Moderate,Mild,Mild,Mild
339,Moderate,Moderate,Moderate,Moderate,Severe
340,Moderate,Severe,Severe,Moderate,Severe
341,No Rate,Severe,Moderate,Mild,No Rate
342,None,Moderate,None,Mild,Moderate
343,No Rate,No Rate,No Rate,No Rate,No Rate
344,Moderate,Mild,Moderate,Mild,Mild
345,Mild,Severe,Moderate,Mild,Severe
346,Moderate,Severe,Moderate,Mild,Severe
347,Mild,Moderate,Mild,Mild,Moderate
348,Mild,Mild,Mild,Mild,Mild
349,Mild,Moderate,None,Mild,Moderate
350,Mild,Moderate,Mild,Moderate,Moderate
351,Mild,Severe,Moderate,Moderate,Moderate
352,None,None,Mild,None,Mild
353,Moderate,Moderate,Moderate,Moderate,Moderate
354,No Rate,No Rate,No Rate,No Rate,No Rate
355,No Rate,No Rate,No Rate,No Rate,No Rate
356,No Rate,No Rate,No Rate,No Rate,No Rate
357,Mild,Moderate,Mild,Mild,Mild
358,None,Moderate,Moderate,Mild,Mild
359,Moderate,Severe,Severe,Mild,Severe
360,No Rate,No Rate,No Rate,No Rate,No Rate
361,Moderate,Severe,Mild,Mild,Severe
362,Severe,Severe,Severe,Mild,Severe
363,Mild,Mild,Mild,Mild,None
364,Mild,No Rate,Moderate,No Rate,No Rate
365,Mild,Mild,Mild,Mild,Mild
366,Severe,Moderate,Mild,Mild,Mild
367,None,Moderate,Moderate,Mild,Moderate
368,Mild,Moderate,Mild,Moderate,Severe
369,Moderate,Severe,Moderate,None,Severe
370,Severe,Mild,Severe,Moderate,Mild
371,Moderate,Mild,Moderate,Moderate,None
372,Mild,Moderate,Moderate,None,Moderate
373,Severe,No Rate,No Rate,No Rate,Mild
374,Mild,Mild,Mild,Mild,Mild
375,None,Severe,Moderate,None,Severe
376,Mild,Severe,Mild,Mild,Moderate
377,None,Severe,Moderate,Mild,Moderate
378,No Rate,No Rate,No Rate,No Rate,No Rate
379,Mild,Moderate,Mild,Mild,Moderate
380,Mild,Mild,Mild,Mild,None
381,Moderate,Severe,Moderate,Mild,Severe
382,Severe,Severe,Severe,Moderate,Moderate
383,Mild,Moderate,None,Mild,Moderate
384,Moderate,Moderate,Mild,Moderate,Moderate
385,Moderate,Severe,Moderate,None,Severe
386,Severe,Moderate,Moderate,Moderate,Severe
387,Mild,Moderate,Mild,Mild,Moderate
388,Severe,Severe,Moderate,Mild,Moderate
389,Mild,Severe,Moderate,Mild,Severe
390,Moderate,Severe,Severe,Mild,Severe
391,No Rate,No Rate,No Rate,No Rate,No Rate
392,Moderate,Moderate,Mild,Mild,Moderate
393,None,Mild,None,None,Mild
394,Mild,Severe,Moderate,Mild,Severe
395,None,None,None,Mild,None
396,No Rate,No Rate,No Rate,No Rate,No Rate
397,None,Mild,None,Mild,Moderate
398,Mild,Severe,Severe,Moderate,Severe
399,Mild,Moderate,Mild,Mild,Moderate
400,Mild,Mild,Mild,Mild,None
401,Mild,Severe,Moderate,Moderate,Moderate
402,Mild,Severe,Severe,Severe,Severe
403,Moderate,None,Mild,Moderate,None
404,No Rate,No Rate,No Rate,No Rate,No Rate
405,No Rate,No Rate,No Rate,No Rate,No Rate
406,Mild,Severe,Severe,Mild,Severe
407,Mild,None,Moderate,Mild,None
408,Mild,Mild,Moderate,Mild,Mild
409,None,Mild,Mild,Mild,Mild
410,Moderate,Mild,Mild,Mild,Mild
411,Severe,None,Severe,Severe,Mild
412,Severe,Severe,Severe,Severe,Severe
413,Moderate,Severe,Severe,Severe,Severe
414,None,Severe,Mild,None,Severe
415,Mild,Mild,Mild,Mild,None
416,No Rate,No Rate,No Rate,No Rate,No Rate
417,Moderate,Mild,Moderate,Severe,Moderate
418,No Rate,No Rate,No Rate,No Rate,No Rate
419,None,Mild,Mild,None,Moderate
420,Mild,No Rate,No Rate,No Rate,No Rate
421,Moderate,Severe,Moderate,Moderate,Severe
422,Mild,Mild,Mild,Mild,Mild
423,Mild,Mild,Mild,Mild,Moderate
424,Moderate,Mild,Moderate,Mild,Mild
425,None,Mild,None,Moderate,Mild
426,Mild,Mild,Mild,Mild,Mild
427,None,None,None,None,None
428,Mild,Mild,Mild,Mild,Mild
429,Mild,Mild,Mild,Mild,Mild
430,None,Mild,None,None,Mild
431,Moderate,Severe,Severe,Mild,Severe
432,None,No Rate,Severe,No Rate,No Rate
433,Moderate,Mild,Severe,Moderate,None
434,None,None,None,Mild,None
435,No Rate,No Rate,No Rate,No Rate,No Rate
436,Moderate,Moderate,Moderate,Moderate,Moderate
437,Mild,Moderate,Mild,Mild,Moderate
438,Mild,Moderate,Mild,Mild,Moderate
439,Severe,None,Severe,Moderate,None
440,Mild,Moderate,Mild,Mild,Moderate
441,Mild,Mild,Moderate,Mild,Mild
442,Mild,Mild,None,Mild,Mild
443,Mild,Severe,Severe,Mild,Moderate
444,None,Moderate,Mild,None,Severe
445,No Rate,No Rate,No Rate,No Rate,No Rate
446,Severe,Severe,Moderate,Mild,Severe
447,Mild,Moderate,Mild,Mild,Moderate
448,None,Mild,None,Mild,Moderate
449,Mild,Severe,Mild,Mild,Severe
450,Moderate,Mild,Moderate,Mild,Mild
451,Mild,None,Mild,Mild,None
452,None,No Rate,No Rate,No Rate,No Rate
453,Mild,Moderate,Mild,None,Mild
454,Severe,Severe,Severe,Mild,Moderate
455,Mild,None,Mild,Moderate,Mild
456,Mild,None,Moderate,Severe,No Rate
457,Moderate,Severe,Mild,Mild,Severe
458,None,Severe,None,None,Severe
459,Mild,Mild,Mild,Mild,Mild
460,None,Moderate,Mild,None,Moderate
461,Severe,Moderate,Severe,Moderate,Moderate
462,None,Mild,Mild,Mild,Mild
463,None,Mild,Mild,Mild,Mild
464,Moderate,Severe,Moderate,Mild,Severe
465,Mild,Moderate,Moderate,Mild,Moderate
466,No Rate,No Rate,No Rate,No Rate,No Rate
467,Mild,Moderate,Mild,Moderate,Severe
468,Severe,Severe,Severe,Severe,Severe
469,None,Severe,Severe,Mild,Moderate
470,Mild,None,Mild,Moderate,Mild
471,Moderate,Moderate,Severe,Moderate,Mild
472,Severe,Mild,Moderate,Mild,Mild
473,Mild,Severe,Mild,Mild,Moderate
474,None,Mild,Moderate,Mild,Mild
475,Mild,Moderate,Mild,None,Mild
476,Mild,Moderate,Mild,Mild,Mild
477,None,Mild,Mild,Moderate,None
478,No Rate,No Rate,No Rate,No Rate,No Rate
479,None,Moderate,Mild,Mild,Moderate
480,None,Moderate,Mild,Mild,Severe
481,Moderate,None,Mild,Mild,None
482,Severe,Severe,Severe,Severe,Severe
483,Severe,Severe,Severe,Moderate,Severe
484,Severe,Severe,Moderate,Moderate,Severe
485,No Rate,No Rate,No Rate,No Rate,No Rate
486,Mild,None,Moderate,Moderate,None
487,No Rate,No Rate,No Rate,No Rate,No Rate
488,Mild,Mild,Moderate,Moderate,Mild
489,Mild,Severe,Severe,Moderate,Moderate
490,Mild,Mild,Mild,Mild,Mild
491,None,Severe,Severe,None,Moderate
492,Moderate,Mild,Mild,Moderate,Mild
493,Moderate,Severe,Severe,Mild,Moderate
494,Mild,None,Mild,None,None
495,No Rate,No Rate,No Rate,No Rate,No Rate
496,Severe,Severe,Severe,Severe,Severe
497,No Rate,No Rate,No Rate,No Rate,No Rate
498,Mild,Mild,Moderate,Mild,Mild
499,Mild,Mild,Mild,Mild,Mild
500,Severe,Mild,Moderate,Severe,Mild
501,None,Mild,None,None,Moderate
502,Moderate,Severe,Moderate,Mild,Severe
503,None,Moderate,Mild,None,Moderate
504,Mild,Severe,Moderate,Moderate,Moderate
505,Moderate,Severe,Moderate,Mild,Severe
506,Moderate,Moderate,Severe,Moderate,Moderate
507,Mild,Moderate,Mild,Mild,Mild
508,None,None,Mild,Mild,None
509,None,None,None,None,None
510,Mild,Moderate,Mild,Mild,Moderate
511,Moderate,Severe,Moderate,Mild,Severe
512,Severe,Mild,Moderate,Mild,None
513,Mild,Severe,Severe,Moderate,Moderate
514,Moderate,Mild,Moderate,Moderate,Moderate
515,Mild,Mild,Mild,Mild,Moderate
516,Mild,Moderate,Moderate,Mild,Mild
517,None,Mild,Mild,None,Mild
518,Mild,Mild,Moderate,Mild,Mild
519,Mild,Moderate,Moderate,Mild,Severe
520,Mild,Severe,Severe,Mild,Severe
521,Mild,Moderate,Mild,Mild,Mild
522,None,Mild,Mild,Mild,Mild
523,No Rate,No Rate,No Rate,No Rate,No Rate
524,Moderate,Moderate,Mild,Mild,Moderate
525,Mild,Mild,Mild,Severe,Mild
526,None,Mild,Mild,Mild,Mild
527,None,Moderate,Mild,Mild,Moderate
528,Moderate,Severe,Moderate,Mild,Severe
529,None,Moderate,Mild,Mild,Moderate
530,Moderate,Mild,Mild,Moderate,None
531,Mild,None,Mild,Mild,None
532,Mild,None,Mild,None,None
533,Severe,Moderate,Severe,Moderate,Moderate
534,Mild,Moderate,Mild,Mild,Moderate
535,Mild,Moderate,Mild,Mild,Severe
536,None,Severe,Mild,Mild,Severe
537,Mild,Mild,Mild,Mild,Mild
538,Moderate,Mild,Moderate,Moderate,None
539,Moderate,Moderate,Mild,Mild,Moderate
540,Moderate,Severe,Moderate,Severe,Moderate
541,Mild,Moderate,Mild,Mild,Mild
542,Moderate,Severe,Moderate,Mild,Severe
543,Mild,Mild,Mild,None,Mild
544,None,Severe,Severe,Mild,Severe
545,None,Severe,Severe,Mild,Moderate
546,None,Moderate,None,Moderate,Moderate
547,Severe,Severe,Moderate,Mild,Severe
548,Mild,None,Mild,Moderate,None
549,None,Severe,Moderate,Mild,Severe
550,Mild,Severe,Moderate,Mild,Severe
551,None,Moderate,Mild,None,Moderate
552,None,Mild,Moderate,Mild,Mild
553,None,Mild,None,Mild,Mild
554,Mild,Moderate,Severe,Moderate,Mild
555,Mild,Severe,Moderate,Mild,Severe
556,Severe,Severe,Moderate,Moderate,Severe
557,Moderate,Moderate,Moderate,Mild,Moderate
558,Mild,Moderate,Mild,Mild,Mild
559,Severe,Mild,None,Mild,Mild
560,Mild,Moderate,Mild,Moderate,Moderate
561,No Rate,No Rate,No Rate,No Rate,No Rate
562,Mild,Moderate,Mild,Mild,Moderate
563,Mild,Moderate,Mild,Mild,Moderate
564,Mild,None,Moderate,Mild,None
565,Moderate,Mild,None,Mild,Severe
566,No Rate,No Rate,No Rate,No Rate,No Rate
567,Mild,Moderate,Mild,Mild,Moderate
568,No Rate,No Rate,No Rate,No Rate,No Rate
569,Moderate,No Rate,Severe,No Rate,No Rate
570,Severe,None,Moderate,Moderate,Mild
571,Moderate,Mild,Mild,Moderate,Mild
572,Mild,Moderate,Mild,Mild,Moderate
573,Mild,Moderate,Moderate,Mild,Moderate
574,Moderate,Severe,Mild,Mild,Severe
575,Mild,Mild,None,Mild,Moderate
576,Moderate,Mild,Mild,Mild,Moderate
577,None,Moderate,None,None,Severe
578,Mild,Moderate,Mild,Mild,Moderate
579,Moderate,Moderate,Mild,Mild,Mild
580,Mild,Moderate,Moderate,None,Mild
581,Mild,Severe,Severe,Mild,Severe
582,Mild,Mild,None,None,Mild
583,Mild,Mild,Mild,Mild,Mild
584,Moderate,Severe,Severe,Mild,Severe
585,Moderate,Mild,Moderate,Moderate,Mild
586,Severe,Moderate,Moderate,Mild,Moderate
587,Moderate,Moderate,Moderate,Mild,Moderate
588,Mild,None,None,None,None
589,None,Mild,Mild,None,Mild
590,Mild,Mild,Mild,None,Mild
591,Mild,Moderate,Mild,Mild,Moderate
592,No Rate,No Rate,No Rate,No Rate,No Rate
593,Mild,None,Mild,None,None
594,Mild,Moderate,Moderate,None,Mild
595,Mild,None,Mild,Mild,None
596,No Rate,No Rate,No Rate,No Rate,No Rate
597,Mild,Mild,Mild,Mild,Moderate
598,Mild,Moderate,Moderate,No Rate,Moderate
599,Moderate,Mild,Mild,Moderate,None
600,Severe,Severe,Mild,Mild,Severe
601,Moderate,Severe,Moderate,Mild,Moderate
602,Moderate,Moderate,Severe,Mild,Severe
603,No Rate,No Rate,No Rate,No Rate,No Rate
604,None,Moderate,None,Mild,Moderate
605,Moderate,None,Mild,Mild,None
606,Mild,Moderate,Mild,Moderate,Severe
607,Mild,Severe,Severe,Mild,Severe
608,Mild,Moderate,Mild,Mild,Moderate
609,Mild,Moderate,Mild,Mild,Moderate
610,None,Moderate,Mild,None,Moderate
611,Mild,Mild,Mild,Mild,Mild
